product_name,revenue,percentage
Electra Cruiser 1 (24-Inch) - 2016,37992.9928,0.49
Trek Super Commuter+ 8S - 2018,37299.9254,0.49
Trek Powerfly 7 FS - 2018,36499.9270,0.47
Electra Girl's Hawaii 1 (16-inch) - 2015/2016,34728.8137,0.45
Surly Troll Frameset - 2017,34477.4561,0.45
Haro SR 1.3 - 2017,34121.7580,0.44
Electra Cruiser 1 (24-Inch) - 2016,34078.1378,0.44
Trek Stache 5 - 2017,33719.7752,0.44
Trek Domane SL 7 Women's - 2018,31399.9372,0.41
Trek X-Caliber 8 - 2017,30939.6906,0.40
Electra Townie Commute Go! Ladies' - 2018,29849.9005,0.39
Electra Girl's Hawaii 1 (16-inch) - 2015/2016,29785.2968,0.39
Trek Fuel EX 8 29 XT - 2018,29503.9078,0.38
Trek Boone 7 Disc - 2018,28239.9294,0.37
Surly Steamroller - 2017,27690.0439,0.36
Surly Big Dummy Frameset - 2017,27679.7232,0.36
Electra Glam Punk 3i Ladies' - 2017,27647.6544,0.36
Trek Domane SLR 8 Disc - 2018,27374.9635,0.36
Surly Ice Cream Truck Frameset - 2017,27269.7273,0.35
Surly Wednesday - 2017,26438.1081,0.34
Trek Super Commuter+ 7 - 2018,25847.9282,0.34
Trek Emonda SLR 8 - 2018,24179.9628,0.31
Trek XM700+ - 2018,24149.9310,0.31
Trek Domane SL 6 - 2018,23679.9260,0.31
Sun Bicycles Biscayne Tandem CB - 2017,22899.9666,0.30
Trek XM700+ Lowstep - 2018,20964.9401,0.27
Trek Emonda SLR 6 - 2018,20789.9538,0.27
Trek Domane ALR Disc Frameset - 2018,19999.9375,0.26
Sun Bicycles Brickell Tandem 7 - 2017,19544.7394,0.25
Sun Bicycles Spider 3i - 2017,19491.9660,0.25
Sun Bicycles Streamway 3 - 2017,19363.8092,0.25
Electra Amsterdam Original 3i - 2015/2017,18987.9123,0.25
Sun Bicycles Lil Bolt Type-R - 2017,18681.9416,0.24
Sun Bicycles Biscayne Tandem 7 - 2017,18289.7050,0.24
Trek Conduit+ - 2018,17807.9364,0.23
Electra Amsterdam Original 3i Ladies' - 2017,17793.3304,0.23
Sun Bicycles Streamway 7 - 2017,17637.6897,0.23
Trek Domane SL Frameset - 2018,17549.9730,0.23
Electra Townie Original 7D - 2017,17502.4428,0.23
Trek Domane SL 6 Disc - 2018,17324.9505,0.23
Electra Townie 3i EQ (20-inch) - Boys' - 2017,17125.1505,0.22
Sun Bicycles Cruz 3 - 2017,17036.6214,0.22
Electra Townie Commute Go! - 2018,16649.9445,0.22
Trek Powerfly 5 Women's - 2018,16204.9537,0.21
Electra Townie Commute Go! - 2018,15749.9475,0.20
Sun Bicycles Atlas X-Type - 2017,15620.4454,0.20
Trek CrossRip+ - 2018,15524.9655,0.20
Trek Dual Sport+ - 2018,15455.9448,0.20
Trek Emonda ALR 6 - 2018,15110.9343,0.20
Surly Ogre Frameset - 2017,14909.8012,0.19
Electra Cruiser Lux Fat Tire 1 Ladies - 2017,14747.7542,0.19
Trek Domane SL 8 Disc - 2018,14739.9732,0.19
Trek Fuel EX 8 29 - 2018,14431.9549,0.19
Surly Wednesday Frameset - 2017,14367.5943,0.19
Electra Townie Go! 8i Ladies' - 2018,14143.9456,0.18
Trek Remedy 7 27.5 - 2018,14069.9531,0.18
Haro Flightline Two 26 Plus - 2017,14008.2453,0.18
Trek Crockett 7 Disc - 2018,13679.9544,0.18
Trek Domane ALR Frameset - 2018,13439.9580,0.17
Surly ECR 27.5 - 2018,13103.1000,0.17
Sun Bicycles Brickell Tandem CB - 2017,13045.2688,0.17
Sun Bicycles Cruz 7 - Women's - 2017,12968.3890,0.17
Trek Fuel EX 5 Plus - 2018,12824.9430,0.17
Sun Bicycles Streamway - 2017,12816.1141,0.17
"""Electra Girl's Hawaii 1 16"""" - 2017""",12785.5738,0.17
Sun Bicycles Cruz 3 - Women's - 2017,12622.2195,0.16
Trek Lift+ - 2018,12403.9557,0.16
Trek Precaliber 24 (21-Speed) - Girls - 2017,12179.6520,0.16
Electra Townie 7D (20-inch) - Boys' - 2017,12079.8447,0.16
Trek Emonda SL 7 - 2018,12059.9732,0.16
Trek Remedy 9.8 27.5 - 2018,11999.9760,0.16
Trek Farley Alloy Frameset - 2017,11937.7460,0.16
Surly Krampus - 2018,11767.1500,0.15
Trek Domane ALR 5 Gravel - 2018,11681.9351,0.15
Electra Townie Original 7D - 2017,11661.7620,0.15
Heller Shagamaw GX1 - 2018,11305.6500,0.15
Trek Domane ALR 5 Disc - 2018,11141.9381,0.14
Surly Troll Frameset - 2018,11074.9557,0.14
Trek Domane SL 5 Disc - 2018,11074.9557,0.14
Sun Bicycles Cruz 7 - 2017,10996.0263,0.14
Trek Emonda SL 6 Disc - 2018,10799.9640,0.14
Haro SR 1.1 - 2017,10740.4011,0.14
Sun Bicycles Cruz 3 - 2017,10673.7628,0.14
Sun Bicycles Drifter 7 - 2017,10644.3740,0.14
Trek Domane SLR 6 Disc - 2018,10449.9810,0.14
Electra Cruiser Lux 1 - 2017,10432.1629,0.14
Haro Flightline One ST - 2017,10430.7255,0.14
Electra Savannah 3i (20-inch) - Girl's - 2017,10258.2069,0.13
Trek Stache 5 - 2018,10063.9371,0.13
Trek Domane SL 5 - 2018,10031.9544,0.13
Sun Bicycles Drifter 7 - Women's - 2017,10027.3771,0.13
Trek Domane ALR 4 Disc Women's - 2018,9749.4371,0.13
Electra Moto 3i (20-inch) - Boy's - 2017,9680.7234,0.13
Trek Verve+ - 2018,9544.9585,0.12
Trek Verve+ Lowstep - 2018,9429.9590,0.12
Sun Bicycles Cruz 7 - 2017,9361.4255,0.12
Surly Pack Rat - 2018,9335.0800,0.12
Electra Sugar Skulls 1 (20-inch) - Girl's - 2017,9095.6968,0.12
Heller Bloodhound Trail - 2018,8992.5400,0.12
Trek Domane SLR Frameset - 2018,8927.9721,0.12
Electra Koa 3i Ladies' - 2018,8819.9020,0.11
Trek 1120 - 2018,8749.9650,0.11
Electra Straight 8 3i (20-inch) - Boy's - 2017,8638.5237,0.11
Trek Domane SLR 6 - 2018,8499.9830,0.11
Haro Downtown 16 - 2017,8464.2435,0.11
Sun Bicycles Revolutions 24 - 2017,8011.6008,0.10
Trek Fuel EX 7 29 - 2018,7999.9680,0.10
Trek Neko+ - 2018,7727.9724,0.10
Electra Loft Go! 8i - 2018,7643.9727,0.10
Sun Bicycles Boardwalk (24-inch Wheels) - 2017,7447.2552,0.10
Haro Shredder 20 Girls - 2017,7364.3493,0.10
"""Electra Girl's Hawaii 1 16"""" - 2017""",7301.7566,0.09
Trek Farley Carbon Frameset - 2018,7239.9276,0.09
Haro Shredder 20 - 2017,7183.7579,0.09
Trek Session DH 27.5 Carbon Frameset - 2017,6781.9557,0.09
Electra Super Moto 8i - 2018,6443.9284,0.08
Surly Straggler - 2018,6428.3500,0.08
Trek Domane SL 5 Disc Women's - 2018,6249.9750,0.08
Haro Shredder Pro 20 - 2017,6227.2509,0.08
Trek Domane AL 3 Women's - 2018,6219.1324,0.08
Trek Domane SL Frameset Women's - 2018,6174.9905,0.08
Trek Boone 5 Disc - 2018,6038.9817,0.08
Electra Townie Commute 27D Ladies - 2018,5912.9343,0.08
Trek Ticket S Frame - 2018,5527.1624,0.07
Electra Townie Balloon 3i EQ Ladies' - 2018,5447.9319,0.07
Electra Townie Original 21D EQ - 2017/2018,5439.9200,0.07
Sun Bicycles Revolutions 24 - Girl's - 2017,5436.4434,0.07
Electra Townie Commute Go! Ladies' - 2018,5399.9820,0.07
Electra Townie Commute 8D Ladies' - 2018,5389.9230,0.07
Surly Straggler 650b - 2018,5359.5400,0.07
Surly Straggler - 2018,5344.0500,0.07
Trek X-Caliber Frameset - 2018,5219.9652,0.07
Trek Precaliber 12 Girls - 2017,5198.1264,0.07
Surly ECR - 2018,5127.3000,0.07
Trek Precaliber 16 Boys - 2017,5113.2565,0.07
Electra Townie Balloon 7i EQ Ladies' - 2017/2018,5039.9440,0.07
Trek Precaliber 12 Boys - 2017,4972.0383,0.06
Electra Delivery 3i - 2016/2017/2018,4953.5484,0.06
Electra Daydreamer 3i Ladies' - 2018,4949.9450,0.06
Electra Relic 3i - 2018,4844.9430,0.06
Electra Townie Go! 8i - 2017/2018,4835.9814,0.06
Trek Precaliber 16 Girls - 2017,4577.7820,0.06
Trek Procaliber 6 - 2018,4553.9747,0.06
Trek Crockett 5 Disc - 2018,4553.9747,0.06
Trek Lift+ Lowstep - 2018,4479.9840,0.06
Electra Townie Balloon 3i EQ Ladies' - 2018,4359.9455,0.06
Trek Powerfly 5 FS - 2018,4274.9905,0.06
Electra Townie Original 21D EQ - 2017/2018,4256.7374,0.06
Trek Remedy 27.5 C Frameset - 2018,4199.9720,0.05
Electra Queen of Hearts 3i - 2018,4162.4445,0.05
Trek Stache Carbon Frameset - 2018,4149.1549,0.05
Trek Procaliber Frameset - 2018,4139.9724,0.05
Electra Tiger Shark 3i - 2018,4103.9544,0.05
Trek CrossRip 1 - 2018,4089.5574,0.05
Trek Procal AL Frameset - 2018,4049.9730,0.05
Electra Townie Balloon 7i EQ - 2018,4013.9554,0.05
Electra Amsterdam Fashion 3i Ladies' - 2017/2018,4004.9555,0.05
Trek X-Caliber 7 - 2018,3983.5567,0.05
Trek Domane ALR 4 Disc - 2018,3921.4747,0.05
Electra Townie Original 21D EQ Ladies' - 2018,3875.9430,0.05
Electra Cruiser Lux 1 Ladies' - 2018,3874.2099,0.05
Electra Townie Balloon 8D EQ Ladies' - 2016/2017/2018,3749.9500,0.05
Electra Townie Original 7D EQ Ladies' - 2017/2018,3683.9386,0.05
Trek Marlin 5 - 2018,3498.5286,0.05
Electra Cruiser Lux 3i - 2018,3455.5348,0.04
Electra White Water 3i - 2018,3412.4545,0.04
Trek Domane AL 2 Women's - 2018,3382.4549,0.04
Electra Townie Commute 27D Ladies - 2018,3329.9630,0.04
Trek Powerfly 5 - 2018,3254.9907,0.04
Trek Boy's Kickster - 2015/2017,3236.7842,0.04
Trek Girl's Kickster - 2017,3193.2871,0.04
Electra Townie Balloon 3i EQ - 2017/2018,3172.4577,0.04
Electra Straight 8 3i - 2018,3121.2657,0.04
Electra Amsterdam Royal 8i Ladies - 2018,3035.9747,0.04
Trek Madone 9 Frameset - 2018,2975.9907,0.04
Surly Straggler 650b - 2018,2943.1000,0.04
Surly Big Fat Dummy Frameset - 2018,2928.0377,0.04
"""Electra Treasure 1 20"""" - 2018""",2835.1114,0.04
Electra Moto 3i - 2018,2771.1567,0.04
Trek Domane AL 2 - 2018,2624.9650,0.03
Trek Domane AL 3 - 2018,2585.1719,0.03
Trek Domane SLR Disc Frameset - 2018,2559.9920,0.03
Trek X-Caliber 8 - 2018,2499.9750,0.03
Electra Townie Balloon 7i EQ - 2018,2483.9724,0.03
Electra Townie Balloon 8D EQ - 2016/2017/2018,2474.9670,0.03
Electra Townie Go! 8i - 2017/2018,2469.9905,0.03
Electra Townie Balloon 7i EQ Ladies' - 2017/2018,2456.9727,0.03
Electra Townie Go! 8i - 2017/2018,2417.9907,0.03
Sun Bicycles Lil Kitt'n - 2017,2328.4883,0.03
Strider Strider 20 Sport - 2018,2305.4205,0.03
Trek Kids' Neko - 2018,2213.6529,0.03
Electra Cruiser Lux 1 - 2016/2018,2175.7494,0.03
Surly Pack Rat Frameset - 2018,2143.1544,0.03
Electra Townie Balloon 8D EQ - 2016/2017/2018,2092.4721,0.03
Trek Marlin 7 - 2017/2018,2069.9724,0.03
Electra Townie Original 1 - 2018,2069.9540,0.03
Electra Morningstar 3i Ladies' - 2018,2009.9732,0.03
Electra Cyclosaurus 1 (16-inch) - Boy's - 2018,2001.9285,0.03
"""Electra Under-The-Sea 1 16"""" - 2018""",1987.9290,0.03
Electra Heartchya 1 (20-inch) - Girl's - 2018,1929.5397,0.03
Electra Townie Commute 8D - 2018,1897.4747,0.02
Electra Townie Commute 8D - 2018,1874.9750,0.02
Electra Cruiser Lux 3i Ladies' - 2018,1854.9650,0.02
Electra Townie Original 3i EQ - 2017/2018,1834.7722,0.02
Electra Cruiser Lux 7D - 2018,1823.9620,0.02
Electra Cruiser Lux Fat Tire 7D - 2018,1811.1717,0.02
Electra Townie Original 3i EQ Ladies' - 2018,1811.1717,0.02
Electra Tiger Shark 1 (20-inch) - Boys' - 2018,1804.7436,0.02
Trek Domane SL 5 Women's - 2018,1759.9920,0.02
Electra Sweet Ride 3i (20-inch) - Girls' - 2018,1701.9540,0.02
Electra Cruiser 1 - 2016/2017/2018,1682.0377,0.02
Electra Townie Original 1 Ladies' - 2018,1574.9650,0.02
Electra Townie Original 21D Ladies' - 2018,1573.5719,0.02
Trek Precaliber 16 Girl's - 2018,1511.9280,0.02
Electra Cruiser 1 Ladies' - 2018,1482.2451,0.02
Trek Marlin 6 - 2018,1467.3747,0.02
Trek 820 - 2018,1379.3637,0.02
Electra Water Lily 1 (16-inch) - Girl's - 2018,1315.9530,0.02
Electra Townie Commute 8D Ladies' - 2018,1259.9820,0.02
"""Electra Starship 1 16"""" - 2018""",1212.3567,0.02
Electra Cruiser 7D (24-Inch) Ladies' - 2016/2018,1209.5622,0.02
Trek CrossRip 2 - 2018,1208.9907,0.02
Strider Sport 16 - 2018,1157.4537,0.02
Trek Kickster - 2018,1151.9280,0.01
Electra Amsterdam Royal 8i - 2017/2018,1133.9100,0.01
Trek Precaliber 24 (7-Speed) - Boys - 2018,1129.5647,0.01
Electra Townie Original 21D EQ Ladies' - 2018,1087.9840,0.01
Electra Townie Original 21D Ladies' - 2018,1063.9810,0.01
Trek Precaliber 12 Boy's - 2018,1061.9469,0.01
Trek Domane ALR 3 - 2018,1022.9907,0.01
Electra Townie Original 7D EQ - 2018,1019.9830,0.01
Trek Precaliber 20 Girl's - 2018,1011.9560,0.01
Electra Cruiser 7D (24-Inch) Ladies' - 2016/2018,892.7721,0.01
Electra Cruiser 7D Tall - 2016/2018,873.5727,0.01
Strider Classic 12 Balance Bike - 2018,857.6047,0.01
Electra Townie Commute 27D - 2018,836.9907,0.01
Electra Townie Commute 27D - 2018,809.9910,0.01
Trek Precaliber 20 Boy's - 2018,781.9660,0.01
Electra Cruiser Lux 7D Ladies' - 2018,767.9840,0.01
Surly ECR Frameset - 2018,712.4905,0.01
Electra Townie Balloon 8D EQ Ladies' - 2016/2017/2018,674.9910,0.01
Electra Townie Balloon 3i EQ - 2017/2018,674.9910,0.01
Trek Precaliber 24 21-speed Girl's - 2018,665.9820,0.01
Trek Precaliber 24 21-speed Boy's - 2018,640.0827,0.01
"""Electra Superbolt 1 20"""" - 2018""",607.9810,0.01
Electra Cruiser 7D Ladies' - 2016/2018,591.9815,0.01
Electra Townie Original 21D - 2018,520.7907,0.01
Trek Precaliber 20 6-speed Boy's - 2018,492.9830,0.01
Trek Superfly 24 - 2017/2018,465.4905,0.01
Electra Townie Original 21D - 2018,447.9920,0.01
Electra Straight 8 1 (20-inch) - Boy's - 2018,362.6907,0.00
Trek Superfly 20 - 2018,359.9910,0.00
"""Electra Superbolt 3i 20"""" - 2018""",351.4905,0.00
Electra Tiger Shark 3i (20-inch) - Boys' - 2018,332.9910,0.00
Electra Cruiser 7D - 2016/2017/2018,303.9905,0.00
"""Electra Treasure 3i 20"""" - 2018""",295.9920,0.00
Trek Precaliber 20 6-speed Girl's - 2018,269.6907,0.00
Electra Straight 8 1 (16-inch) - Boy's - 2018,265.9905,0.00
Trek Precaliber 24 7-speed Girl's - 2018,255.9920,0.00
Electra Cruiser 1 Tall - 2016/2018,242.9910,0.00
Trek MT 201 - 2018,224.9910,0.00
Electra Soft Serve 1 (16-inch) - Girl's - 2018,223.9920,0.00
Trek Precaliber 16 Boy's - 2018,199.4905,0.00
