city,state,customer_count,total_sales,average_order_value,max_order_value
Los Banos,CA,19,26671.6615,1403.77165789,5509.9810
Fort Worth,TX,17,26352.6053,1550.15325294,9499.9810
Rochester,NY,22,25603.8105,1163.80956818,4749.9905
Atwater,CA,22,25460.8410,1157.31095455,2939.3820
Valley Stream,NY,17,25152.2724,1479.54543529,5399.9820
Centereach,NY,19,24726.9274,1301.41723158,7599.9810
Rocklin,CA,22,24578.8191,1117.21905000,5119.9840
Wantagh,NY,13,24462.4288,1881.72529231,10069.9810
Hicksville,NY,20,24352.8399,1217.64199500,5393.9814
Levittown,NY,14,24056.2570,1718.30407143,6174.9905
Shirley,NY,18,23919.6473,1328.86929444,4639.9840
Jamestown,NY,20,23291.2611,1164.56305500,6399.9840
Queensbury,NY,17,23187.5164,1363.97155294,5699.9810
Rosedale,NY,18,23017.0054,1278.72252222,5759.9820
Endicott,NY,15,22507.7975,1500.51983333,4859.9820
West Babylon,NY,20,22363.7263,1118.18631500,4274.9810
Farmingdale,NY,22,22279.1265,1012.68756818,3149.9910
Hopewell Junction,NY,16,21884.1997,1367.76248125,5579.9814
West Hempstead,NY,14,21669.3694,1547.81210000,5224.9905
Fresno,CA,20,21095.0924,1054.75462000,5759.9820
Flushing,NY,17,20949.0997,1232.29998235,5399.9910
Amsterdam,NY,15,20441.6822,1362.77881333,9857.9814
Pomona,CA,19,20237.5735,1065.13544737,4499.9820
Syosset,NY,18,19980.5477,1110.03042778,5399.9820
Poughkeepsie,NY,13,19753.0572,1519.46593846,10229.9814
Hamburg,NY,17,19449.7499,1144.10293529,6649.9810
Glen Cove,NY,20,18874.1521,943.70760500,3037.3614
Forest Hills,NY,16,18130.4999,1133.15624375,2789.9907
Fresh Meadows,NY,12,18004.0697,1500.33914167,4769.9910
New City,NY,17,17761.3354,1044.78443529,3599.9910
Helotes,TX,12,17671.2749,1472.60624167,9499.9810
Coram,NY,17,17617.6622,1036.33307059,2943.1000
Yonkers,NY,21,16975.5048,808.35737143,5509.9810
South Richmond Hill,NY,10,16923.0513,1692.30513000,5699.9810
Ontario,CA,11,16253.3971,1477.58155455,3799.9905
Huntington,NY,15,15916.3746,1061.09164000,3347.9814
East Meadow,NY,12,15689.0225,1307.41854167,2609.9910
Saint Albans,NY,16,15646.5659,977.91036875,2069.9910
Ozone Park,NY,11,15602.1849,1418.38044545,4239.9920
Albany,NY,6,15280.3211,2546.72018333,4928.9907
Holbrook,NY,8,15250.4745,1906.30931250,4928.9907
Selden,NY,15,14914.9310,994.32873333,3599.9910
Deer Park,NY,12,14854.4085,1237.86737500,7199.9820
Corona,NY,11,13994.9706,1272.27005455,7439.9814
Middle Village,NY,3,12935.9494,4311.98313333,6695.9814
Bakersfield,CA,12,11812.7644,984.39703333,2399.9920
Freeport,NY,11,11748.2751,1068.02500909,4049.9910
Amarillo,TX,13,11691.6247,899.35574615,1582.6810
Elmont,NY,13,11043.0220,849.46323077,3419.9810
Rego Park,NY,13,10843.0469,834.08053077,1599.9840
Los Angeles,CA,8,10688.7614,1336.09517500,2975.9907
Auburn,NY,10,10063.0749,1006.30749000,3038.4000
Yorktown Heights,NY,10,9763.2129,976.32129000,1673.9907
Commack,NY,7,9448.0482,1349.72117143,5399.9820
Clifton Park,NY,12,8142.1841,678.51534167,2457.0414
Yuba City,CA,3,6450.9529,2150.31763333,4835.9814
Mcallen,TX,7,5635.7335,805.10478571,2799.9920
Mountain View,CA,6,5488.6482,914.77470000,2792.9810
San Antonio,TX,7,4344.9766,620.71094286,1253.9810
Copperas Cove,TX,4,3089.5847,772.39617500,1253.9810
Far Rockaway,NY,5,2957.9449,591.58898000,854.9810
Springfield Gardens,NY,3,1761.1534,587.05113333,835.9810
Tonawanda,NY,2,1256.0910,628.04550000,815.1000
Westbury,NY,2,1240.1840,620.09200000,808.2000
