customer_id,purchase_frequency,purchase_recency,buying_power
111,one-time buyer,not recent buyer,low spender
112,one-time buyer,recent buyer,low spender
113,one-time buyer,not recent buyer,low spender
114,one-time buyer,recent buyer,low spender
115,one-time buyer,recent buyer,low spender
116,repeat buyer,recent buyer,average spender
117,repeat buyer,not recent buyer,low spender
118,one-time buyer,not recent buyer,low spender
119,repeat buyer,recent buyer,average spender
120,repeat buyer,recent buyer,low spender
121,repeat buyer,recent buyer,low spender
122,one-time buyer,recent buyer,big spender
123,repeat buyer,recent buyer,average spender
124,repeat buyer,recent buyer,low spender
125,one-time buyer,not recent buyer,low spender
126,one-time buyer,recent buyer,low spender
127,one-time buyer,not recent buyer,low spender
128,one-time buyer,not recent buyer,low spender
129,one-time buyer,not recent buyer,low spender
130,one-time buyer,not recent buyer,low spender
131,one-time buyer,not recent buyer,low spender
132,one-time buyer,not recent buyer,low spender
133,one-time buyer,not recent buyer,low spender
134,one-time buyer,not recent buyer,low spender
135,repeat buyer,recent buyer,average spender
136,repeat buyer,recent buyer,average spender
137,one-time buyer,not recent buyer,low spender
138,repeat buyer,recent buyer,average spender
139,one-time buyer,recent buyer,low spender
140,one-time buyer,not recent buyer,average spender
141,one-time buyer,not recent buyer,low spender
142,one-time buyer,not recent buyer,low spender
143,one-time buyer,not recent buyer,low spender
144,one-time buyer,not recent buyer,low spender
145,one-time buyer,not recent buyer,low spender
146,one-time buyer,recent buyer,low spender
147,one-time buyer,not recent buyer,low spender
148,one-time buyer,not recent buyer,low spender
149,one-time buyer,not recent buyer,low spender
150,one-time buyer,not recent buyer,low spender
151,repeat buyer,recent buyer,low spender
152,one-time buyer,recent buyer,low spender
153,repeat buyer,not recent buyer,average spender
154,one-time buyer,not recent buyer,low spender
155,one-time buyer,not recent buyer,low spender
156,one-time buyer,not recent buyer,low spender
157,repeat buyer,recent buyer,average spender
158,one-time buyer,not recent buyer,low spender
159,one-time buyer,not recent buyer,average spender
160,one-time buyer,not recent buyer,low spender
161,one-time buyer,not recent buyer,low spender
162,one-time buyer,not recent buyer,low spender
163,one-time buyer,not recent buyer,low spender
164,one-time buyer,not recent buyer,low spender
165,repeat buyer,recent buyer,average spender
166,one-time buyer,not recent buyer,low spender
167,one-time buyer,not recent buyer,average spender
168,one-time buyer,not recent buyer,low spender
169,repeat buyer,recent buyer,average spender
170,repeat buyer,recent buyer,average spender
171,one-time buyer,not recent buyer,low spender
172,repeat buyer,recent buyer,average spender
173,one-time buyer,not recent buyer,low spender
174,one-time buyer,not recent buyer,low spender
175,repeat buyer,recent buyer,average spender
176,repeat buyer,recent buyer,low spender
177,one-time buyer,not recent buyer,low spender
178,one-time buyer,not recent buyer,low spender
179,one-time buyer,not recent buyer,low spender
180,one-time buyer,recent buyer,low spender
181,repeat buyer,recent buyer,low spender
182,one-time buyer,not recent buyer,average spender
183,one-time buyer,not recent buyer,low spender
184,one-time buyer,not recent buyer,average spender
185,one-time buyer,not recent buyer,low spender
186,one-time buyer,not recent buyer,low spender
187,repeat buyer,recent buyer,average spender
188,repeat buyer,recent buyer,low spender
189,one-time buyer,not recent buyer,low spender
190,one-time buyer,not recent buyer,low spender
191,repeat buyer,recent buyer,low spender
192,repeat buyer,recent buyer,average spender
193,one-time buyer,not recent buyer,low spender
194,repeat buyer,recent buyer,average spender
195,one-time buyer,recent buyer,average spender
196,one-time buyer,not recent buyer,average spender
197,one-time buyer,not recent buyer,low spender
198,one-time buyer,not recent buyer,low spender
199,one-time buyer,not recent buyer,low spender
200,one-time buyer,not recent buyer,low spender
201,one-time buyer,not recent buyer,low spender
202,one-time buyer,not recent buyer,low spender
203,one-time buyer,recent buyer,average spender
204,one-time buyer,not recent buyer,low spender
205,one-time buyer,not recent buyer,low spender
206,one-time buyer,not recent buyer,low spender
207,one-time buyer,not recent buyer,low spender
208,repeat buyer,recent buyer,low spender
209,one-time buyer,not recent buyer,low spender
210,one-time buyer,not recent buyer,low spender
211,one-time buyer,not recent buyer,low spender
212,one-time buyer,not recent buyer,low spender
213,one-time buyer,not recent buyer,low spender
214,one-time buyer,not recent buyer,low spender
215,one-time buyer,not recent buyer,low spender
216,one-time buyer,not recent buyer,low spender
217,repeat buyer,recent buyer,low spender
218,one-time buyer,not recent buyer,low spender
219,one-time buyer,not recent buyer,low spender
220,one-time buyer,not recent buyer,low spender
221,one-time buyer,not recent buyer,low spender
222,one-time buyer,not recent buyer,low spender
223,one-time buyer,not recent buyer,low spender
224,repeat buyer,recent buyer,average spender
225,one-time buyer,not recent buyer,low spender
226,one-time buyer,not recent buyer,average spender
227,one-time buyer,not recent buyer,average spender
228,one-time buyer,recent buyer,low spender
229,one-time buyer,not recent buyer,low spender
230,one-time buyer,not recent buyer,low spender
231,repeat buyer,recent buyer,average spender
232,one-time buyer,not recent buyer,low spender
233,repeat buyer,recent buyer,low spender
234,one-time buyer,not recent buyer,low spender
235,one-time buyer,not recent buyer,low spender
236,one-time buyer,not recent buyer,low spender
237,repeat buyer,recent buyer,low spender
238,one-time buyer,not recent buyer,average spender
239,repeat buyer,recent buyer,low spender
240,repeat buyer,recent buyer,low spender
241,one-time buyer,not recent buyer,low spender
242,one-time buyer,not recent buyer,low spender
243,one-time buyer,not recent buyer,low spender
244,one-time buyer,not recent buyer,low spender
245,one-time buyer,not recent buyer,average spender
246,one-time buyer,not recent buyer,low spender
247,one-time buyer,recent buyer,average spender
248,one-time buyer,not recent buyer,low spender
249,one-time buyer,not recent buyer,low spender
250,one-time buyer,not recent buyer,low spender
251,one-time buyer,not recent buyer,low spender
252,one-time buyer,not recent buyer,low spender
253,one-time buyer,recent buyer,low spender
254,one-time buyer,not recent buyer,low spender
255,one-time buyer,not recent buyer,low spender
256,one-time buyer,recent buyer,low spender
257,one-time buyer,not recent buyer,low spender
258,one-time buyer,not recent buyer,low spender
259,one-time buyer,not recent buyer,low spender
260,one-time buyer,not recent buyer,low spender
261,one-time buyer,not recent buyer,low spender
262,one-time buyer,not recent buyer,low spender
263,one-time buyer,recent buyer,average spender
264,one-time buyer,not recent buyer,low spender
265,one-time buyer,not recent buyer,low spender
266,one-time buyer,not recent buyer,low spender
267,one-time buyer,not recent buyer,low spender
268,one-time buyer,not recent buyer,low spender
269,one-time buyer,not recent buyer,low spender
270,one-time buyer,not recent buyer,low spender
271,one-time buyer,not recent buyer,low spender
272,one-time buyer,not recent buyer,low spender
273,one-time buyer,not recent buyer,low spender
274,one-time buyer,not recent buyer,low spender
275,one-time buyer,not recent buyer,average spender
276,one-time buyer,not recent buyer,low spender
277,one-time buyer,not recent buyer,low spender
278,one-time buyer,not recent buyer,low spender
279,one-time buyer,not recent buyer,low spender
280,one-time buyer,not recent buyer,low spender
281,one-time buyer,not recent buyer,low spender
282,one-time buyer,not recent buyer,low spender
283,one-time buyer,not recent buyer,low spender
284,one-time buyer,not recent buyer,low spender
285,one-time buyer,not recent buyer,low spender
286,one-time buyer,not recent buyer,low spender
287,one-time buyer,recent buyer,low spender
288,one-time buyer,not recent buyer,low spender
289,one-time buyer,not recent buyer,average spender
290,one-time buyer,not recent buyer,low spender
291,one-time buyer,not recent buyer,low spender
292,one-time buyer,not recent buyer,average spender
293,one-time buyer,recent buyer,low spender
294,one-time buyer,not recent buyer,low spender
295,one-time buyer,not recent buyer,average spender
296,one-time buyer,recent buyer,average spender
297,one-time buyer,not recent buyer,low spender
298,one-time buyer,not recent buyer,low spender
299,one-time buyer,not recent buyer,low spender
300,one-time buyer,recent buyer,low spender
301,one-time buyer,not recent buyer,low spender
302,one-time buyer,recent buyer,low spender
303,one-time buyer,not recent buyer,low spender
304,one-time buyer,not recent buyer,low spender
305,one-time buyer,not recent buyer,low spender
306,one-time buyer,not recent buyer,low spender
307,one-time buyer,not recent buyer,low spender
308,one-time buyer,recent buyer,low spender
309,one-time buyer,not recent buyer,low spender
310,one-time buyer,recent buyer,average spender
311,one-time buyer,not recent buyer,low spender
312,one-time buyer,recent buyer,low spender
313,one-time buyer,not recent buyer,low spender
314,one-time buyer,not recent buyer,low spender
315,one-time buyer,not recent buyer,low spender
316,one-time buyer,not recent buyer,low spender
317,one-time buyer,not recent buyer,low spender
318,one-time buyer,not recent buyer,low spender
319,one-time buyer,not recent buyer,low spender
320,one-time buyer,not recent buyer,low spender
321,one-time buyer,not recent buyer,low spender
322,one-time buyer,not recent buyer,average spender
323,one-time buyer,recent buyer,low spender
324,one-time buyer,not recent buyer,low spender
325,one-time buyer,not recent buyer,low spender
326,one-time buyer,not recent buyer,low spender
327,one-time buyer,not recent buyer,low spender
328,one-time buyer,not recent buyer,low spender
329,one-time buyer,not recent buyer,low spender
330,one-time buyer,recent buyer,average spender
331,one-time buyer,not recent buyer,low spender
332,one-time buyer,not recent buyer,low spender
333,one-time buyer,not recent buyer,low spender
334,one-time buyer,not recent buyer,average spender
335,one-time buyer,not recent buyer,low spender
336,one-time buyer,not recent buyer,low spender
337,one-time buyer,not recent buyer,low spender
338,one-time buyer,not recent buyer,low spender
339,one-time buyer,not recent buyer,average spender
340,one-time buyer,not recent buyer,low spender
341,one-time buyer,not recent buyer,low spender
342,one-time buyer,not recent buyer,low spender
343,one-time buyer,not recent buyer,low spender
344,one-time buyer,not recent buyer,low spender
345,one-time buyer,not recent buyer,low spender
346,one-time buyer,not recent buyer,low spender
347,one-time buyer,not recent buyer,low spender
348,one-time buyer,not recent buyer,low spender
349,one-time buyer,not recent buyer,low spender
350,one-time buyer,not recent buyer,average spender
351,one-time buyer,not recent buyer,low spender
352,one-time buyer,not recent buyer,low spender
353,one-time buyer,not recent buyer,low spender
354,one-time buyer,not recent buyer,low spender
355,one-time buyer,not recent buyer,low spender
356,one-time buyer,not recent buyer,low spender
357,one-time buyer,not recent buyer,low spender
358,one-time buyer,not recent buyer,low spender
359,one-time buyer,not recent buyer,low spender
360,one-time buyer,not recent buyer,low spender
361,one-time buyer,not recent buyer,low spender
362,one-time buyer,not recent buyer,low spender
363,one-time buyer,not recent buyer,low spender
364,one-time buyer,recent buyer,low spender
365,one-time buyer,not recent buyer,low spender
366,one-time buyer,not recent buyer,low spender
367,one-time buyer,not recent buyer,low spender
368,one-time buyer,not recent buyer,low spender
369,one-time buyer,not recent buyer,low spender
370,one-time buyer,not recent buyer,low spender
371,one-time buyer,not recent buyer,low spender
372,one-time buyer,not recent buyer,low spender
373,one-time buyer,not recent buyer,low spender
374,one-time buyer,not recent buyer,average spender
375,one-time buyer,not recent buyer,average spender
376,one-time buyer,not recent buyer,low spender
377,one-time buyer,not recent buyer,low spender
378,one-time buyer,not recent buyer,low spender
379,one-time buyer,not recent buyer,low spender
380,one-time buyer,not recent buyer,low spender
381,one-time buyer,not recent buyer,low spender
382,one-time buyer,not recent buyer,low spender
383,one-time buyer,not recent buyer,average spender
384,one-time buyer,not recent buyer,low spender
385,one-time buyer,not recent buyer,low spender
386,one-time buyer,not recent buyer,low spender
387,one-time buyer,not recent buyer,low spender
388,one-time buyer,not recent buyer,low spender
389,one-time buyer,not recent buyer,low spender
390,one-time buyer,not recent buyer,low spender
391,one-time buyer,not recent buyer,low spender
392,one-time buyer,recent buyer,low spender
393,one-time buyer,not recent buyer,low spender
394,one-time buyer,not recent buyer,low spender
395,one-time buyer,recent buyer,low spender
396,one-time buyer,not recent buyer,low spender
397,one-time buyer,not recent buyer,low spender
398,one-time buyer,not recent buyer,low spender
399,one-time buyer,not recent buyer,low spender
400,one-time buyer,not recent buyer,low spender
401,one-time buyer,not recent buyer,low spender
402,one-time buyer,not recent buyer,low spender
403,one-time buyer,not recent buyer,average spender
404,one-time buyer,not recent buyer,low spender
405,one-time buyer,recent buyer,low spender
406,one-time buyer,not recent buyer,low spender
407,one-time buyer,not recent buyer,low spender
408,one-time buyer,not recent buyer,low spender
409,one-time buyer,not recent buyer,low spender
410,one-time buyer,not recent buyer,low spender
411,one-time buyer,not recent buyer,low spender
412,one-time buyer,not recent buyer,low spender
413,one-time buyer,not recent buyer,low spender
414,one-time buyer,not recent buyer,low spender
415,one-time buyer,not recent buyer,average spender
416,one-time buyer,not recent buyer,low spender
417,one-time buyer,not recent buyer,low spender
418,one-time buyer,not recent buyer,low spender
419,one-time buyer,not recent buyer,low spender
420,one-time buyer,not recent buyer,low spender
421,one-time buyer,not recent buyer,low spender
422,one-time buyer,not recent buyer,low spender
423,one-time buyer,not recent buyer,low spender
424,one-time buyer,not recent buyer,low spender
425,one-time buyer,recent buyer,average spender
426,one-time buyer,not recent buyer,low spender
427,one-time buyer,recent buyer,low spender
428,one-time buyer,not recent buyer,low spender
429,one-time buyer,not recent buyer,low spender
430,one-time buyer,not recent buyer,low spender
431,one-time buyer,not recent buyer,low spender
432,one-time buyer,not recent buyer,low spender
433,one-time buyer,not recent buyer,low spender
434,one-time buyer,not recent buyer,low spender
435,one-time buyer,not recent buyer,low spender
436,one-time buyer,not recent buyer,low spender
437,one-time buyer,not recent buyer,low spender
438,one-time buyer,not recent buyer,low spender
439,one-time buyer,not recent buyer,low spender
440,one-time buyer,recent buyer,low spender
441,one-time buyer,not recent buyer,average spender
442,one-time buyer,not recent buyer,low spender
443,one-time buyer,not recent buyer,low spender
444,one-time buyer,not recent buyer,low spender
445,one-time buyer,not recent buyer,low spender
446,one-time buyer,not recent buyer,low spender
447,one-time buyer,not recent buyer,low spender
448,one-time buyer,not recent buyer,low spender
449,one-time buyer,not recent buyer,low spender
450,one-time buyer,not recent buyer,low spender
451,one-time buyer,not recent buyer,low spender
452,one-time buyer,recent buyer,low spender
453,one-time buyer,not recent buyer,low spender
454,one-time buyer,not recent buyer,low spender
455,one-time buyer,not recent buyer,low spender
456,one-time buyer,not recent buyer,low spender
457,one-time buyer,not recent buyer,low spender
458,one-time buyer,not recent buyer,low spender
459,one-time buyer,not recent buyer,low spender
460,one-time buyer,not recent buyer,low spender
461,one-time buyer,not recent buyer,low spender
462,one-time buyer,not recent buyer,average spender
463,one-time buyer,recent buyer,low spender
464,one-time buyer,recent buyer,average spender
465,one-time buyer,not recent buyer,low spender
466,one-time buyer,not recent buyer,low spender
467,one-time buyer,not recent buyer,low spender
468,one-time buyer,not recent buyer,low spender
469,one-time buyer,not recent buyer,low spender
470,one-time buyer,not recent buyer,low spender
471,one-time buyer,not recent buyer,low spender
472,one-time buyer,not recent buyer,low spender
473,one-time buyer,not recent buyer,average spender
474,one-time buyer,recent buyer,low spender
475,one-time buyer,not recent buyer,low spender
476,one-time buyer,recent buyer,low spender
477,one-time buyer,not recent buyer,low spender
478,one-time buyer,recent buyer,low spender
479,one-time buyer,not recent buyer,low spender
480,one-time buyer,not recent buyer,low spender
481,one-time buyer,not recent buyer,low spender
482,one-time buyer,not recent buyer,low spender
483,one-time buyer,recent buyer,low spender
484,one-time buyer,not recent buyer,low spender
485,one-time buyer,not recent buyer,low spender
486,one-time buyer,not recent buyer,low spender
487,one-time buyer,not recent buyer,low spender
488,one-time buyer,recent buyer,low spender
489,one-time buyer,not recent buyer,low spender
490,one-time buyer,not recent buyer,low spender
491,one-time buyer,recent buyer,low spender
492,one-time buyer,not recent buyer,low spender
493,one-time buyer,not recent buyer,low spender
494,one-time buyer,not recent buyer,low spender
495,one-time buyer,not recent buyer,low spender
496,one-time buyer,not recent buyer,low spender
497,one-time buyer,not recent buyer,low spender
498,one-time buyer,not recent buyer,low spender
499,one-time buyer,not recent buyer,low spender
500,one-time buyer,not recent buyer,low spender
501,one-time buyer,not recent buyer,low spender
502,one-time buyer,recent buyer,low spender
503,one-time buyer,not recent buyer,average spender
504,one-time buyer,not recent buyer,low spender
505,one-time buyer,recent buyer,low spender
506,one-time buyer,not recent buyer,low spender
507,one-time buyer,not recent buyer,low spender
508,one-time buyer,not recent buyer,low spender
509,one-time buyer,not recent buyer,average spender
510,one-time buyer,not recent buyer,low spender
511,one-time buyer,not recent buyer,low spender
512,one-time buyer,not recent buyer,low spender
513,one-time buyer,not recent buyer,low spender
514,one-time buyer,not recent buyer,low spender
515,one-time buyer,recent buyer,low spender
516,one-time buyer,not recent buyer,low spender
517,one-time buyer,not recent buyer,low spender
518,one-time buyer,recent buyer,low spender
519,one-time buyer,not recent buyer,low spender
520,one-time buyer,not recent buyer,low spender
521,one-time buyer,not recent buyer,low spender
522,one-time buyer,not recent buyer,low spender
523,one-time buyer,not recent buyer,low spender
524,one-time buyer,not recent buyer,low spender
525,one-time buyer,not recent buyer,average spender
526,one-time buyer,not recent buyer,low spender
527,one-time buyer,not recent buyer,low spender
528,one-time buyer,not recent buyer,low spender
529,one-time buyer,not recent buyer,low spender
530,one-time buyer,not recent buyer,low spender
531,one-time buyer,not recent buyer,average spender
532,one-time buyer,not recent buyer,low spender
533,one-time buyer,not recent buyer,low spender
534,one-time buyer,not recent buyer,average spender
535,one-time buyer,not recent buyer,low spender
536,one-time buyer,not recent buyer,low spender
537,one-time buyer,not recent buyer,low spender
538,one-time buyer,not recent buyer,low spender
539,one-time buyer,not recent buyer,low spender
540,one-time buyer,not recent buyer,low spender
541,one-time buyer,not recent buyer,average spender
542,one-time buyer,not recent buyer,low spender
543,one-time buyer,not recent buyer,low spender
544,one-time buyer,not recent buyer,low spender
545,one-time buyer,not recent buyer,low spender
546,one-time buyer,not recent buyer,low spender
547,one-time buyer,recent buyer,average spender
548,one-time buyer,not recent buyer,low spender
549,one-time buyer,not recent buyer,low spender
550,one-time buyer,not recent buyer,average spender
551,one-time buyer,not recent buyer,low spender
552,one-time buyer,not recent buyer,low spender
553,one-time buyer,not recent buyer,low spender
554,one-time buyer,not recent buyer,low spender
555,one-time buyer,not recent buyer,low spender
556,one-time buyer,not recent buyer,low spender
557,one-time buyer,not recent buyer,low spender
558,one-time buyer,not recent buyer,low spender
559,one-time buyer,not recent buyer,low spender
560,one-time buyer,not recent buyer,low spender
561,one-time buyer,not recent buyer,low spender
562,one-time buyer,not recent buyer,low spender
563,one-time buyer,not recent buyer,low spender
564,one-time buyer,not recent buyer,low spender
565,one-time buyer,not recent buyer,low spender
566,one-time buyer,recent buyer,low spender
567,one-time buyer,not recent buyer,low spender
568,one-time buyer,not recent buyer,low spender
569,one-time buyer,not recent buyer,low spender
570,one-time buyer,not recent buyer,low spender
571,one-time buyer,not recent buyer,low spender
572,one-time buyer,not recent buyer,low spender
573,one-time buyer,not recent buyer,low spender
574,one-time buyer,not recent buyer,low spender
575,one-time buyer,not recent buyer,low spender
576,one-time buyer,not recent buyer,average spender
577,one-time buyer,not recent buyer,low spender
578,one-time buyer,not recent buyer,low spender
579,one-time buyer,not recent buyer,low spender
580,one-time buyer,recent buyer,low spender
581,one-time buyer,not recent buyer,low spender
582,one-time buyer,not recent buyer,low spender
583,one-time buyer,not recent buyer,average spender
584,one-time buyer,not recent buyer,low spender
585,one-time buyer,not recent buyer,low spender
586,one-time buyer,not recent buyer,low spender
587,one-time buyer,not recent buyer,low spender
588,one-time buyer,not recent buyer,low spender
589,one-time buyer,not recent buyer,low spender
590,one-time buyer,not recent buyer,low spender
591,one-time buyer,not recent buyer,low spender
592,one-time buyer,not recent buyer,low spender
593,one-time buyer,not recent buyer,low spender
594,one-time buyer,recent buyer,low spender
595,one-time buyer,recent buyer,average spender
596,one-time buyer,not recent buyer,low spender
597,one-time buyer,not recent buyer,low spender
598,one-time buyer,not recent buyer,low spender
599,one-time buyer,recent buyer,low spender
600,one-time buyer,not recent buyer,low spender
601,one-time buyer,recent buyer,low spender
602,one-time buyer,not recent buyer,low spender
603,one-time buyer,not recent buyer,low spender
604,one-time buyer,not recent buyer,low spender
605,one-time buyer,not recent buyer,low spender
606,one-time buyer,not recent buyer,low spender
607,one-time buyer,not recent buyer,average spender
608,one-time buyer,not recent buyer,low spender
609,one-time buyer,not recent buyer,average spender
610,one-time buyer,not recent buyer,low spender
611,one-time buyer,not recent buyer,low spender
612,one-time buyer,not recent buyer,low spender
613,one-time buyer,not recent buyer,low spender
614,one-time buyer,not recent buyer,low spender
615,one-time buyer,not recent buyer,low spender
616,one-time buyer,not recent buyer,low spender
617,one-time buyer,not recent buyer,low spender
618,one-time buyer,not recent buyer,low spender
619,one-time buyer,not recent buyer,low spender
620,one-time buyer,not recent buyer,low spender
621,one-time buyer,not recent buyer,low spender
622,one-time buyer,not recent buyer,low spender
623,one-time buyer,recent buyer,low spender
624,one-time buyer,not recent buyer,low spender
625,one-time buyer,not recent buyer,low spender
626,one-time buyer,not recent buyer,low spender
627,one-time buyer,not recent buyer,average spender
628,one-time buyer,not recent buyer,low spender
629,one-time buyer,not recent buyer,low spender
630,one-time buyer,not recent buyer,low spender
631,one-time buyer,not recent buyer,low spender
632,one-time buyer,not recent buyer,low spender
633,one-time buyer,not recent buyer,low spender
634,one-time buyer,not recent buyer,low spender
635,one-time buyer,not recent buyer,low spender
636,one-time buyer,not recent buyer,low spender
637,one-time buyer,recent buyer,low spender
638,one-time buyer,not recent buyer,low spender
639,one-time buyer,not recent buyer,low spender
640,one-time buyer,not recent buyer,low spender
641,one-time buyer,not recent buyer,low spender
642,one-time buyer,not recent buyer,low spender
643,one-time buyer,not recent buyer,low spender
644,one-time buyer,not recent buyer,low spender
645,one-time buyer,not recent buyer,low spender
646,one-time buyer,not recent buyer,low spender
647,one-time buyer,not recent buyer,low spender
648,one-time buyer,not recent buyer,low spender
649,one-time buyer,not recent buyer,low spender
650,one-time buyer,not recent buyer,low spender
651,one-time buyer,not recent buyer,average spender
652,one-time buyer,not recent buyer,low spender
653,one-time buyer,not recent buyer,low spender
654,one-time buyer,not recent buyer,low spender
655,one-time buyer,not recent buyer,low spender
656,one-time buyer,not recent buyer,low spender
657,one-time buyer,not recent buyer,low spender
658,one-time buyer,not recent buyer,low spender
659,one-time buyer,not recent buyer,low spender
660,one-time buyer,not recent buyer,low spender
661,one-time buyer,not recent buyer,low spender
662,one-time buyer,not recent buyer,low spender
663,one-time buyer,not recent buyer,average spender
664,one-time buyer,not recent buyer,low spender
665,one-time buyer,not recent buyer,low spender
666,one-time buyer,not recent buyer,low spender
667,one-time buyer,not recent buyer,low spender
668,one-time buyer,not recent buyer,low spender
669,one-time buyer,not recent buyer,low spender
670,one-time buyer,not recent buyer,low spender
671,one-time buyer,not recent buyer,low spender
672,one-time buyer,not recent buyer,low spender
673,one-time buyer,not recent buyer,low spender
674,one-time buyer,not recent buyer,low spender
675,one-time buyer,not recent buyer,low spender
676,one-time buyer,not recent buyer,low spender
677,one-time buyer,not recent buyer,low spender
678,one-time buyer,not recent buyer,low spender
679,one-time buyer,not recent buyer,low spender
680,one-time buyer,recent buyer,low spender
681,one-time buyer,not recent buyer,average spender
682,one-time buyer,not recent buyer,low spender
683,one-time buyer,not recent buyer,low spender
684,one-time buyer,not recent buyer,low spender
685,one-time buyer,not recent buyer,low spender
686,one-time buyer,not recent buyer,low spender
687,one-time buyer,not recent buyer,low spender
688,one-time buyer,not recent buyer,low spender
689,one-time buyer,recent buyer,low spender
690,one-time buyer,not recent buyer,average spender
691,one-time buyer,not recent buyer,low spender
692,one-time buyer,recent buyer,average spender
693,one-time buyer,not recent buyer,low spender
694,one-time buyer,not recent buyer,low spender
695,one-time buyer,not recent buyer,low spender
696,one-time buyer,not recent buyer,low spender
697,one-time buyer,not recent buyer,low spender
698,one-time buyer,not recent buyer,low spender
699,one-time buyer,not recent buyer,low spender
700,one-time buyer,not recent buyer,average spender
701,one-time buyer,not recent buyer,low spender
702,one-time buyer,not recent buyer,low spender
703,one-time buyer,not recent buyer,low spender
704,one-time buyer,not recent buyer,low spender
705,one-time buyer,not recent buyer,low spender
706,one-time buyer,not recent buyer,low spender
