product_id,product_name,total_q_in_all_stores
248,Electra Townie Original 7D EQ Ladies' - 2017/2018,51
249,Electra White Water 3i - 2018,43
250,Electra Townie Go! 8i - 2017/2018,42
251,Electra Townie Commute Go! - 2018,12
252,Electra Townie Commute Go! Ladies' - 2018,75
253,Electra Townie Go! 8i Ladies' - 2018,60
254,Electra Townie Balloon 3i EQ - 2017/2018,35
255,Electra Townie Balloon 7i EQ Ladies' - 2017/2018,42
256,Electra Townie Commute 27D - 2018,29
257,Electra Amsterdam Fashion 3i Ladies' - 2017/2018,47
258,Electra Amsterdam Royal 8i - 2017/2018,45
259,Electra Amsterdam Royal 8i Ladies - 2018,26
260,Electra Townie Balloon 3i EQ Ladies' - 2018,45
261,Electra Townie Balloon 7i EQ - 2018,31
262,Trek MT 201 - 2018,43
263,Strider Classic 12 Balance Bike - 2018,46
264,Strider Sport 16 - 2018,36
265,Strider Strider 20 Sport - 2018,54
266,Trek Superfly 20 - 2018,37
267,Trek Precaliber 12 Girl's - 2018,60
268,Trek Kickster - 2018,43
269,Trek Precaliber 12 Boy's - 2018,52
270,Trek Precaliber 16 Boy's - 2018,37
271,Trek Precaliber 16 Girl's - 2018,55
272,Trek Precaliber 20 6-speed Boy's - 2018,27
273,Trek Precaliber 20 6-speed Girl's - 2018,67
274,Trek Precaliber 20 Boy's - 2018,41
275,Trek Precaliber 20 Girl's - 2018,54
276,Trek Precaliber 24 (7-Speed) - Boys - 2018,30
277,Trek Precaliber 24 21-speed Boy's - 2018,43
278,Trek Precaliber 24 21-speed Girl's - 2018,40
279,Trek Precaliber 24 7-speed Girl's - 2018,50
280,Trek Superfly 24 - 2017/2018,35
281,Electra Cruiser 7D (24-Inch) Ladies' - 2016/2018,16
282,Electra Cyclosaurus 1 (16-inch) - Boy's - 2018,32
283,Electra Heartchya 1 (20-inch) - Girl's - 2018,39
284,Electra Savannah 1 (20-inch) - Girl's - 2018,59
285,Electra Soft Serve 1 (16-inch) - Girl's - 2018,44
286,"""Electra Starship 1 16"""" - 2018""",38
287,Electra Straight 8 1 (16-inch) - Boy's - 2018,43
288,Electra Straight 8 1 (20-inch) - Boy's - 2018,24
289,"""Electra Superbolt 1 20"""" - 2018""",9
290,"""Electra Superbolt 3i 20"""" - 2018""",43
291,Electra Sweet Ride 1 (20-inch) - Girl's - 2018,41
292,Electra Sweet Ride 3i (20-inch) - Girls' - 2018,68
293,Electra Tiger Shark 1 (20-inch) - Boys' - 2018,44
294,Electra Tiger Shark 3i (20-inch) - Boys' - 2018,23
295,"""Electra Treasure 1 20"""" - 2018""",48
296,"""Electra Treasure 3i 20"""" - 2018""",29
297,"""Electra Under-The-Sea 1 16"""" - 2018""",51
298,Electra Water Lily 1 (16-inch) - Girl's - 2018,67
299,Electra Townie Original 21D - 2018,47
300,Electra Townie Balloon 3i EQ Ladies' - 2018,23
301,Electra Townie Balloon 7i EQ - 2018,65
302,Electra Townie Original 1 - 2018,12
303,Electra Townie Go! 8i - 2017/2018,48
304,Electra Townie Original 21D EQ - 2017/2018,44
305,Electra Townie Balloon 3i EQ - 2017/2018,55
306,Electra Townie Balloon 7i EQ Ladies' - 2017/2018,45
307,Electra Townie Balloon 8D EQ - 2016/2017/2018,52
308,Electra Townie Balloon 8D EQ Ladies' - 2016/2017/2018,47
309,Electra Townie Commute 27D - 2018,46
310,Electra Townie Commute 27D Ladies - 2018,31
311,Electra Townie Commute 8D - 2018,70
312,Electra Townie Commute 8D Ladies' - 2018,43
313,Electra Townie Original 1 Ladies' - 2018,38
